,label,entities,agents,activities,nodes,edges,diameter,assortativity,acc,acc_e,acc_a,acc_ag,mfd_e_e,mfd_e_a,mfd_e_ag,mfd_a_e,mfd_a_a,mfd_a_ag,mfd_ag_e,mfd_ag_a,mfd_ag_ag,mfd_der,powerlaw_alpha
21,requests,42,0,1,43,52,5,0.09147164818291403,0.39494949494949494,0.09242424242424242,1.0,0,5,3,0,4,0,0,0,0,0,4,-1
20,commissives,45,0,2,47,67,6,-0.012604157266267487,0.39393939393939387,0.09090909090909091,1.0,0,4,4,0,3,0,0,0,0,0,4,-1
23,assertives,51,0,2,53,73,6,0.08174765054118685,0.393939393939394,0.09090909090909091,1.0,0,4,4,0,3,0,0,0,0,0,5,-1
25,instruction,44,0,2,46,63,6,-0.053343553865188235,0.39604377104377103,0.09406565656565657,1.0,0,5,4,0,5,4,0,0,0,0,4,-1
24,instruction,41,0,0,41,40,8,-1.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0,0,4,-1
27,assertives,49,0,1,50,59,6,0.1696737805313267,0.393939393939394,0.09090909090909091,1.0,0,4,3,0,3,0,0,0,0,0,5,-1
26,requests,44,0,2,46,58,6,0.00028832627862662046,0.4191919191919193,0.12878787878787878,1.0,0,5,4,0,5,4,0,0,0,0,4,-1
29,assertives,45,0,4,49,68,6,-0.08079990903439008,0.396043771043771,0.09406565656565655,1.0,0,4,4,0,4,4,0,0,0,0,4,-1
28,assertives,46,0,3,49,71,6,-0.1095757882093123,0.4037037037037037,0.10555555555555556,1.0,0,4,5,0,4,5,0,0,0,0,4,-1
14,assertives,45,0,2,47,62,5,-0.03553164571924849,0.39935064935064934,0.09902597402597402,1.0,0,4,4,0,4,3,0,0,0,0,4,-1
15,assertives,53,0,6,59,84,8,-0.2152796761959912,0.3766233766233765,0.1366041366041366,0.9166666666666666,0,5,5,0,5,5,0,0,0,0,5,-1
16,instruction,45,0,2,47,62,5,-0.03553164571924852,0.39935064935064934,0.09902597402597402,1.0,0,4,4,0,4,3,0,0,0,0,4,-1
17,requests,50,0,2,52,72,6,0.06832565917802695,0.393939393939394,0.09090909090909091,1.0,0,4,4,0,3,0,0,0,0,0,5,-1
10,requests,47,0,2,49,69,6,0.022890877860167337,0.3828282828282828,0.07424242424242425,1.0,0,4,5,0,3,3,0,0,0,0,5,-1
11,instruction,44,0,1,45,54,7,0.1262972168547062,0.393939393939394,0.09090909090909091,1.0,0,4,4,0,2,0,0,0,0,0,4,-1
12,commissives,46,0,3,49,73,5,-0.1286650178997314,0.38855218855218854,0.08282828282828282,1.0,0,5,4,0,5,4,0,0,0,0,4,-1
13,requests,46,0,3,49,72,5,-0.09938590881023919,0.39595959595959596,0.09393939393939393,1.0,0,4,5,0,4,5,0,0,0,0,4,-1
18,instruction,48,0,1,49,56,8,0.11013344318652842,0.393939393939394,0.09090909090909091,1.0,0,4,3,0,3,0,0,0,0,0,5,-1
19,instruction,49,0,4,53,73,8,-0.11707028540275026,0.38175324675324673,0.16440940012368582,0.8888888888888888,0,4,5,0,4,3,0,0,0,0,5,-1
74,requests,50,0,3,53,77,5,-0.09683894038815627,0.3922558922558922,0.08838383838383838,1.0,0,5,4,0,5,4,0,0,0,0,5,-1
75,requests,50,0,3,53,78,6,-0.0719584687553013,0.39966329966329966,0.09949494949494948,1.0,0,4,4,0,4,0,0,0,0,0,5,-1
72,assertives,45,0,2,47,67,5,-0.012604157266267475,0.3828282828282828,0.07424242424242425,1.0,0,5,4,0,4,3,0,0,0,0,4,-1
73,requests,46,0,3,49,72,6,-0.16824614369753454,0.3930415263748597,0.08956228956228957,1.0,0,5,6,0,5,4,0,0,0,0,4,-1
70,instruction,43,0,1,44,53,6,0.1160149955174447,0.393939393939394,0.09090909090909091,1.0,0,5,4,0,3,0,0,0,0,0,4,-1
71,requests,45,0,2,47,63,6,-0.03822125605879437,0.3973665223665223,0.09604978354978355,1.0,0,4,5,0,4,4,0,0,0,0,4,-1
6,assertives,49,0,2,51,71,6,0.05409468173027285,0.3828282828282829,0.07424242424242423,1.0,0,4,5,0,3,3,0,0,0,0,5,-1
7,instruction,44,0,1,45,54,7,0.12629721685470613,0.393939393939394,0.09090909090909091,1.0,0,4,4,0,2,0,0,0,0,0,4,-1
5,instruction,47,0,5,52,69,8,-0.1361480809560247,0.36804407713498616,0.2143939393939394,0.7777777777777777,0,5,4,0,3,0,0,0,0,0,4,-1
8,requests,44,0,2,46,59,6,-0.024558410422304656,0.4080808080808081,0.11212121212121212,1.0,0,5,4,0,5,4,0,0,0,0,4,-1
9,requests,47,0,3,50,75,5,-0.13186002407658773,0.38484848484848483,0.07727272727272727,1.0,0,5,4,0,5,4,0,0,0,0,5,-1
69,instruction,42,0,1,43,48,8,-0.09358322222321734,0.4047619047619048,0.10714285714285714,1.0,0,5,3,0,4,0,0,0,0,0,4,-1
68,instruction,41,0,0,41,40,8,-1.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0,0,4,-1
65,assertives,41,0,0,41,40,8,-1.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0,0,4,-1
64,instruction,41,0,0,41,40,8,-1.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0,0,4,-1
66,instruction,41,0,0,41,40,8,-1.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0,0,4,-1
61,instruction,41,0,0,41,40,8,-1.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0,0,4,-1
60,instruction,41,0,0,41,40,8,-1.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0,0,4,-1
62,instruction,42,0,2,44,45,8,-0.04769451392539186,0.4777777777777778,0.21666666666666667,1.0,0,4,0,0,4,0,0,0,0,0,4,-1
52,instruction,43,0,1,44,53,6,0.11601499551744465,0.393939393939394,0.09090909090909091,1.0,0,5,4,0,3,0,0,0,0,0,4,-1
57,assertives,43,0,1,44,53,6,0.11601499551744468,0.393939393939394,0.09090909090909091,1.0,0,5,4,0,3,0,0,0,0,0,4,-1
58,requests,48,0,3,51,78,6,-0.14759353596932157,0.39622414622414615,0.09433621933621933,1.0,0,4,4,0,4,0,0,0,0,0,5,-1
59,instruction,41,0,0,41,40,8,-1.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0,0,4,-1
50,assertives,49,0,2,51,71,5,0.05409468173027288,0.3828282828282828,0.07424242424242425,1.0,0,5,4,0,4,3,0,0,0,0,5,-1
51,requests,45,0,2,47,62,7,-0.035531645719248516,0.39935064935064934,0.09902597402597402,1.0,0,4,4,0,4,0,0,0,0,0,4,-1
53,requests,47,0,3,50,76,5,-0.1533525309149553,0.3975468975468975,0.09632034632034632,1.0,0,4,4,0,4,0,0,0,0,0,4,-1
54,instruction,41,0,0,41,40,8,-1.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0,0,4,-1
55,instruction,41,0,0,41,40,8,-1.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0,0,4,-1
56,instruction,43,0,2,45,47,8,-0.0079455215770466,0.0,0.0,0.0,0,5,3,0,4,2,0,0,0,0,4,-1
46,instruction,41,0,0,41,40,8,-1.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0,0,4,-1
42,assertives,45,0,2,47,60,6,-0.011441574845672837,0.4080808080808081,0.11212121212121212,1.0,0,4,4,0,4,0,0,0,0,0,4,-1
49,requests,48,0,5,53,76,8,-0.16490951159428918,0.3457070707070707,0.1643939393939394,0.7083333333333333,0,5,4,0,5,4,0,0,0,0,5,-1
48,instruction,46,0,4,50,69,8,-0.15794542185681232,0.3829437229437229,0.16611008039579467,0.8888888888888888,0,5,5,0,5,4,0,0,0,0,4,-1
67,instruction,41,0,0,41,40,8,-1.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0,0,4,-1
47,instruction,43,0,2,45,47,8,-0.0079455215770466,0.0,0.0,0.0,0,5,3,0,4,2,0,0,0,0,4,-1
45,instruction,43,0,2,45,48,8,-0.13051432016424833,0.35833333333333334,0.25555555555555554,0.6666666666666666,0,4,1,0,3,0,0,0,0,0,4,-1
44,assertives,53,0,5,58,82,7,-0.1387813430913345,0.42027972027972044,0.19966329966329965,0.9166666666666666,0,4,4,0,4,0,0,0,0,0,5,-1
43,requests,50,0,4,54,67,7,0.02991176779578265,0.5127946127946128,0.2691919191919192,1.0,0,4,3,0,4,0,0,0,0,0,5,-1
41,directives(request),56,0,4,60,83,8,0.0709882768104071,0.3828282828282828,0.07424242424242425,1.0,0,5,5,0,4,3,0,0,0,0,6,-1
40,instruction,44,0,4,48,62,6,-0.0436583367230699,0.4191919191919193,0.12878787878787878,1.0,0,5,4,0,5,4,0,0,0,0,4,-1
32,requests,53,0,4,57,81,7,-0.03401072798741203,0.37303030303030305,0.15194805194805192,0.8888888888888888,0,5,4,0,3,3,0,0,0,0,6,-1
33,requests,45,0,2,47,60,7,-0.011441574845672807,0.4080808080808081,0.11212121212121212,1.0,0,4,4,0,4,0,0,0,0,0,4,-1
30,requests,49,0,4,53,70,8,-0.02786809144378084,0.4025252525252525,0.10378787878787879,1.0,0,5,5,0,4,4,0,0,0,0,5,-1
31,instruction,51,0,2,53,73,5,0.023208193490134418,0.3828282828282828,0.07424242424242425,1.0,0,5,4,0,4,3,0,0,0,0,5,-1
36,instruction,41,0,0,41,40,8,-1.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0,0,4,-1
37,instruction,43,0,1,44,53,6,0.11601499551744464,0.393939393939394,0.09090909090909091,1.0,0,5,4,0,3,0,0,0,0,0,4,-1
34,instruction,43,0,1,44,53,6,0.11601499551744468,0.393939393939394,0.09090909090909091,1.0,0,5,4,0,3,0,0,0,0,0,4,-1
35,commissives,50,0,2,52,72,6,0.06832565917802692,0.393939393939394,0.09090909090909091,1.0,0,4,4,0,3,0,0,0,0,0,5,-1
38,requests,51,0,4,55,76,7,0.00029115124156372634,0.393939393939394,0.09090909090909091,1.0,0,4,5,0,4,4,0,0,0,0,5,-1
39,instruction,43,0,2,45,47,8,-0.007945521577046592,0.0,0.0,0.0,0,5,3,0,4,2,0,0,0,0,4,-1
