,label,entities,agents,activities,nodes,edges,diameter,assortativity,acc,acc_e,acc_a,acc_ag,mfd_e_e,mfd_e_a,mfd_e_ag,mfd_a_e,mfd_a_a,mfd_a_ag,mfd_ag_e,mfd_ag_a,mfd_ag_ag,mfd_der,powerlaw_alpha
21,requests,112,0,4,116,158,11,0.3118827743834951,0.39393939393939387,0.0909090909090909,1.0,0,12,9,0,9,7,0,0,0,0,11,-1.0
20,commissives,137,0,8,145,221,12,0.22140295429102752,0.3977693602693604,0.09665404040404041,1.0,0,13,12,0,13,12,0,0,0,0,13,-1.0
23,assertives,149,0,8,157,238,12,0.1940143432042819,0.38560606060606073,0.0784090909090909,1.0,0,14,13,0,12,12,0,0,0,0,15,-1.0
25,instruction,121,0,7,128,192,11,0.17537554587620963,0.3828282828282829,0.07424242424242423,1.0,0,11,10,0,10,9,0,0,0,0,11,-1.0
24,instruction,112,0,4,116,158,12,0.3118827743834951,0.38838383838383833,0.08257575757575757,1.0,0,12,9,0,9,6,0,0,0,0,11,-1.0
27,assertives,151,0,10,161,237,12,0.20454012187319592,0.38096969696969696,0.10926916221033868,0.9583333333333334,0,15,10,0,14,10,0,0,0,0,16,-1.0
26,requests,153,0,10,163,250,11,0.11781396751442944,0.38005050505050514,0.07007575757575757,1.0,0,14,10,0,13,9,0,0,0,0,15,-1.0
29,assertives,139,0,11,150,234,11,0.07442285246166883,0.37997835497835497,0.10382775119617225,0.9629629629629629,0,13,10,0,11,9,0,0,0,0,14,-1.0
28,assertives,153,0,12,165,259,12,0.09453085499943872,0.3813294232649071,0.1025974025974026,0.9666666666666666,0,15,11,0,13,11,0,0,0,0,16,-1.0
14,assertives,153,0,14,167,260,12,0.04658356066302102,0.36789772727272724,0.11088154269972451,0.9333333333333333,0,16,10,0,13,9,0,0,0,0,17,-1.0
15,assertives,160,0,14,174,271,13,0.10232456134327028,0.3678977272727272,0.11088154269972451,0.9333333333333332,0,18,11,0,13,11,0,0,0,0,19,3.7750616701279465
16,instruction,133,0,9,142,213,11,0.19545051713509756,0.38896969696969697,0.12103386809269165,0.9583333333333334,0,13,10,0,11,9,0,0,0,0,14,-1.0
17,requests,158,0,10,168,258,12,0.22190797165260004,0.3817099567099567,0.10637958532695375,0.9629629629629631,0,16,11,0,15,10,0,0,0,0,17,-1.0
10,requests,152,0,12,164,255,12,0.06456792621458846,0.3770283479960899,0.09624819624819624,0.9666666666666668,0,13,11,0,13,11,0,0,0,0,14,-1.0
11,instruction,144,0,13,157,243,11,0.0613050280533459,0.37164502164502167,0.0915470494417863,0.9629629629629631,0,14,10,0,12,10,0,0,0,0,15,-1.0
12,commissives,159,0,14,173,271,11,0.10440264045156171,0.37054880603267687,0.08668315811172955,0.9666666666666666,0,17,10,0,15,10,0,0,0,0,18,-1.0
13,requests,163,0,15,178,282,11,0.045118983338195445,0.36632034632034627,0.10366161616161618,0.9393939393939393,0,17,11,0,14,11,0,0,0,0,18,-1.0
18,instruction,139,0,8,147,215,13,0.24448137893205937,0.38443526170798903,0.11939393939393941,0.9523809523809524,0,15,9,0,13,8,0,0,0,0,15,-1.0
19,instruction,135,0,8,143,211,14,0.2305332750028608,0.38443526170798903,0.11939393939393941,0.9523809523809524,0,14,10,0,11,8,0,0,0,0,14,-1.0
