,label,entities,agents,activities,nodes,edges,diameter,assortativity,acc,acc_e,acc_a,acc_ag,mfd_e_e,mfd_e_a,mfd_e_ag,mfd_a_e,mfd_a_a,mfd_a_ag,mfd_ag_e,mfd_ag_a,mfd_ag_ag,mfd_der,powerlaw_alpha
21,requests,125,0,6,131,187,12,0.27423852909321816,0.40235690235690247,0.10353535353535354,1.0,0,15,10,0,13,10,0,0,0,0,12,-1.0
20,commissives,156,0,8,164,243,13,0.20302065200578948,0.3911616161616163,0.08674242424242425,1.0,0,14,13,0,13,12,0,0,0,0,15,-1.0
23,assertives,165,0,10,175,263,13,0.2702480138710855,0.3856060606060607,0.0784090909090909,1.0,0,17,14,0,14,14,0,0,0,0,18,-1.0
25,instruction,135,0,8,143,210,12,0.25872488358272416,0.3828282828282829,0.07424242424242423,1.0,0,13,11,0,11,9,0,0,0,0,14,-1.0
24,instruction,125,0,7,132,188,13,0.2661677425185608,0.3877104377104377,0.08156565656565655,1.0,0,13,10,0,12,9,0,0,0,0,12,-1.0
27,assertives,169,0,12,181,275,13,0.15379710066030114,0.3813294232649072,0.1025974025974026,0.9666666666666666,0,16,11,0,15,11,0,0,0,0,17,-1.0
26,requests,171,0,12,183,281,12,0.19336114272771315,0.3791788856304985,0.09942279942279943,0.9666666666666666,0,17,11,0,15,11,0,0,0,0,18,-1.0
29,assertives,158,0,11,169,264,12,0.17006714454532967,0.376948051948052,0.09936204146730462,0.9629629629629629,0,16,11,0,11,9,0,0,0,0,17,-1.0
28,assertives,174,0,12,186,292,13,0.18321337550657565,0.3764418377321604,0.0953823953823954,0.9666666666666666,0,18,12,0,13,11,0,0,0,0,19,-1.0
14,assertives,168,0,14,182,287,13,0.107773455660379,0.3631628787878787,0.10399449035812675,0.9333333333333332,0,19,11,0,13,9,0,0,0,0,20,-1.0
15,assertives,180,0,16,196,309,14,0.0536098964894388,0.37025518341307806,0.10524475524475524,0.9444444444444443,0,22,12,0,22,12,0,0,0,0,20,-1.0
16,instruction,153,0,11,164,251,12,0.1228498457845489,0.387781036168133,0.11212121212121212,0.9666666666666668,0,18,11,0,17,10,0,0,0,0,15,-1.0
17,requests,169,0,10,179,269,13,0.25659500149435405,0.3817099567099567,0.10637958532695378,0.9629629629629629,0,17,12,0,15,10,0,0,0,0,18,-1.0
10,requests,175,0,14,189,298,13,0.14133021199254822,0.3667644183773216,0.08109668109668111,0.9666666666666666,0,19,12,0,14,11,0,0,0,0,20,-1.0
11,instruction,166,0,13,179,278,12,0.14875387789771755,0.3662337662337662,0.0835725677830941,0.9629629629629629,0,18,11,0,13,10,0,0,0,0,19,-1.0
