,label,entities,agents,activities,nodes,edges,diameter,assortativity,acc,acc_e,acc_a,acc_ag,mfd_e_e,mfd_e_a,mfd_e_ag,mfd_a_e,mfd_a_a,mfd_a_ag,mfd_ag_e,mfd_ag_a,mfd_ag_ag,mfd_der,powerlaw_alpha
21,requests,239,0,14,253,384,18,0.22869036508113644,0.38468013468013473,0.07702020202020203,1.0,0,23,16,0,18,15,0,0,0,0,24,-1.0
20,commissives,273,0,18,291,455,19,0.2521096761742184,0.3832405689548547,0.09430670339761248,0.9791666666666667,0,27,19,0,22,19,0,0,0,0,28,-1.0
23,assertives,274,0,18,292,456,19,0.2539148001215881,0.3832405689548547,0.09430670339761248,0.9791666666666667,0,28,20,0,21,20,0,0,0,0,29,-1.0
25,instruction,241,0,16,257,399,18,0.24162760473294678,0.38174770965468635,0.0947753396029258,0.9761904761904762,0,24,17,0,19,15,0,0,0,0,25,-1.0
24,instruction,228,0,15,243,370,19,0.21570647202320445,0.38083333333333336,0.09506172839506172,0.9743589743589743,0,22,16,0,19,13,0,0,0,0,22,-1.0
27,assertives,276,0,19,295,454,19,0.22926524494589962,0.3792490118577076,0.08963831867057674,0.9777777777777777,0,28,17,0,27,17,0,0,0,0,29,-1.0
26,requests,275,0,20,295,461,18,0.24352469531742002,0.38188002473716764,0.09228650137741047,0.9791666666666666,0,29,17,0,27,17,0,0,0,0,30,-1.0
29,assertives,261,0,21,282,442,18,0.2222074228181939,0.3810935441370224,0.09237536656891496,0.9777777777777779,0,27,17,0,24,16,0,0,0,0,28,-1.0
28,assertives,278,0,22,300,471,19,0.22983784737904364,0.3805194805194806,0.09026629935720845,0.9791666666666667,0,29,18,0,26,18,0,0,0,0,30,-1.0
14,assertives,261,0,20,281,442,19,0.18187000476693777,0.3760808080808081,0.10207961972667853,0.9583333333333333,0,29,17,0,28,16,0,0,0,0,29,-1.0
15,assertives,281,0,22,303,480,20,0.14947594343078507,0.37566738816738826,0.09747474747474745,0.9629629629629629,0,28,18,0,28,18,0,0,0,0,31,-1.0
16,instruction,254,0,17,271,422,18,0.22164564846973983,0.38752834467120184,0.10067340067340065,0.9791666666666667,0,24,17,0,23,16,0,0,0,0,26,-1.0
17,requests,272,0,18,290,448,19,0.283792770637012,0.3821475625823453,0.09393939393939392,0.9777777777777779,0,28,18,0,26,18,0,0,0,0,29,-1.0
10,requests,284,0,21,305,487,19,0.18645322493444422,0.3690680388793597,0.08964646464646464,0.9607843137254901,0,31,18,0,29,17,0,0,0,0,32,-1.0
11,instruction,273,0,20,293,464,18,0.18926082311943743,0.36890909090909096,0.09153297682709446,0.9583333333333333,0,31,17,0,29,15,0,0,0,0,31,-1.0
12,commissives,276,0,20,296,467,18,0.1948149322852947,0.3689090909090909,0.09153297682709446,0.9583333333333333,0,30,17,0,30,17,0,0,0,0,31,-1.0
13,requests,271,0,21,292,464,18,0.17755811948711944,0.3745759481608538,0.09775533108866442,0.9607843137254901,0,29,18,0,29,18,0,0,0,0,30,-1.0
18,instruction,253,0,16,269,405,20,0.30035489331648746,0.3837121212121213,0.09932659932659932,0.9743589743589745,0,26,16,0,24,16,0,0,0,0,27,-1.0
