,label,entities,agents,activities,nodes,edges,diameter,assortativity,acc,acc_e,acc_a,acc_ag,mfd_e_e,mfd_e_a,mfd_e_ag,mfd_a_e,mfd_a_a,mfd_a_ag,mfd_ag_e,mfd_ag_a,mfd_ag_ag,mfd_der,powerlaw_alpha
21,requests,21,0,0,21,20,4,-1.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,2,3.3041760821059727
20,commissives,22,0,1,23,26,4,-0.477054265531316,0.4222222222222222,0.13333333333333333,1.0,0,2,2,0,2,0,0,0,0,0,2,-1.0
23,assertives,22,0,1,23,27,4,-0.5020257224634143,0.41111111111111115,0.11666666666666667,1.0,0,2,2,0,2,0,0,0,0,0,2,3.0502201143628556
25,instruction,21,0,0,21,20,4,-1.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,2,3.3041760821059727
24,instruction,21,0,0,21,20,4,-1.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,2,3.3041760821059727
27,assertives,21,0,0,21,20,4,-1.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,2,3.3041760821059727
26,requests,21,0,0,21,20,4,-1.0,0.0,0.0,0.0,0,2,0,0,0,0,0,0,0,0,2,3.3041760821059727
29,assertives,22,0,1,23,31,4,-0.5087004274092212,0.3962962962962963,0.09444444444444444,1.0,0,2,2,0,2,0,0,0,0,0,2,3.1098431510660687
28,assertives,22,0,1,23,25,4,-0.4358630271139161,0.4444444444444445,0.16666666666666666,1.0,0,2,2,0,2,0,0,0,0,0,2,-1.0
14,assertives,22,0,1,23,27,4,-0.5020257224634143,0.41111111111111115,0.11666666666666667,1.0,0,2,2,0,2,0,0,0,0,0,2,3.0502201143628556
15,assertives,22,0,1,23,25,4,-0.4358630271139163,0.4444444444444444,0.16666666666666666,1.0,0,2,2,0,2,0,0,0,0,0,2,-1.0
16,instruction,22,0,1,23,27,4,-0.5020257224634143,0.41111111111111115,0.11666666666666667,1.0,0,2,2,0,2,0,0,0,0,0,2,3.0502201143628556
17,requests,22,0,1,23,25,4,-0.4358630271139162,0.4444444444444445,0.16666666666666666,1.0,0,2,2,0,2,0,0,0,0,0,2,-1.0
10,requests,22,0,1,23,31,4,-0.5087004274092212,0.3962962962962963,0.09444444444444444,1.0,0,2,2,0,2,0,0,0,0,0,2,3.1098431510660687
11,instruction,22,0,1,23,26,4,-0.477054265531316,0.4222222222222223,0.13333333333333333,1.0,0,2,2,0,2,0,0,0,0,0,2,-1.0
