,label,entities,agents,activities,nodes,edges,diameter,assortativity,acc,acc_e,acc_a,acc_ag,mfd_e_e,mfd_e_a,mfd_e_ag,mfd_a_e,mfd_a_a,mfd_a_ag,mfd_ag_e,mfd_ag_a,mfd_ag_ag,mfd_der,powerlaw_alpha
21,requests,164,0,9,173,257,14,0.2314995827055276,0.3947250280583614,0.09208754208754209,1.0,0,17,12,0,15,12,0,0,0,0,15,-1.0
20,commissives,199,0,11,210,324,15,0.23227204050326303,0.38585858585858596,0.0787878787878788,1.0,0,19,15,0,15,14,0,0,0,0,20,-1.0
23,assertives,205,0,13,218,338,15,0.17574705790881986,0.38383838383838387,0.07575757575757576,1.0,0,20,16,0,16,15,0,0,0,0,21,-1.0
25,instruction,173,0,12,185,285,14,0.13148631061767385,0.3764418377321604,0.09538239538239537,0.9666666666666666,0,17,13,0,14,12,0,0,0,0,17,-1.0
24,instruction,155,0,8,163,230,15,0.31645955184428587,0.3828282828282829,0.07424242424242423,1.0,0,15,12,0,13,9,0,0,0,0,16,-1.0
27,assertives,202,0,13,215,324,15,0.2415667668571881,0.3824420677361854,0.10158102766798419,0.9696969696969696,0,21,13,0,17,13,0,0,0,0,22,-1.0
26,requests,210,0,14,224,352,14,0.21478035427174666,0.37567567567567567,0.08933333333333333,0.9722222222222222,0,22,13,0,16,12,0,0,0,0,23,-1.0
29,assertives,188,0,14,202,320,14,0.1557807086883711,0.3833742833742834,0.10072727272727272,0.9722222222222222,0,20,13,0,19,12,0,0,0,0,20,-1.0
28,assertives,204,0,15,219,348,15,0.16828843048497225,0.3825,0.09753086419753086,0.9743589743589743,0,21,14,0,19,14,0,0,0,0,22,-1.0
14,assertives,200,0,17,217,341,15,0.0823756754247659,0.3719881744271987,0.10422077922077923,0.9487179487179487,0,25,13,0,24,12,0,0,0,0,22,-1.0
15,assertives,216,0,16,232,359,16,0.17335878806810065,0.366267942583732,0.09941724941724941,0.9444444444444443,0,24,14,0,22,12,0,0,0,0,25,-1.0
16,instruction,189,0,11,200,301,14,0.2738199641309873,0.38289345063538605,0.10490620490620493,0.9666666666666666,0,20,13,0,17,10,0,0,0,0,20,-1.0
17,requests,194,0,13,207,320,15,0.23475616733281024,0.3889707889707889,0.10901010101010099,0.9722222222222222,0,19,14,0,19,14,0,0,0,0,20,-1.0
10,requests,212,0,18,230,367,15,0.09738315550580671,0.3689393939393939,0.09666666666666668,0.9523809523809523,0,22,14,0,19,14,0,0,0,0,23,-1.0
11,instruction,201,0,17,218,344,14,0.0977500027516099,0.3687361419068735,0.09945887445887447,0.9487179487179487,0,21,13,0,18,12,0,0,0,0,22,-1.0
12,commissives,208,0,17,225,355,14,0.14174614818418071,0.36873614190687354,0.09945887445887445,0.9487179487179487,0,23,13,0,18,13,0,0,0,0,24,-1.0
13,requests,210,0,18,228,363,14,0.07979396488924408,0.37045454545454537,0.09888888888888889,0.9523809523809523,0,25,14,0,25,14,0,0,0,0,23,-1.0
18,instruction,175,0,11,186,277,16,0.25245882038128803,0.3923101987618117,0.1188071188071188,0.9666666666666666,0,18,12,0,17,12,0,0,0,0,18,-1.0
19,instruction,179,0,11,190,284,17,0.19000102227877994,0.38719452590420333,0.11125541125541126,0.9666666666666666,0,17,13,0,15,12,0,0,0,0,17,-1.0
74,requests,192,0,11,203,322,14,0.2505622676492717,0.39191919191919194,0.08787878787878789,1.0,0,20,18,0,13,12,0,0,0,0,21,-1.0
75,requests,182,0,10,192,300,15,0.2620037046657546,0.3939393939393939,0.09090909090909091,1.0,0,19,19,0,11,0,0,0,0,0,20,-1.0
72,assertives,180,0,11,191,303,14,0.22928961360989322,0.39247015610651975,0.08870523415977961,1.0,0,19,14,0,13,12,0,0,0,0,20,-1.0
73,requests,188,0,12,200,323,14,0.21229087882916123,0.3944444444444444,0.09166666666666667,1.0,0,20,16,0,14,13,0,0,0,0,21,-1.0
70,instruction,167,0,10,177,278,14,0.2296013965232016,0.3923232323232323,0.08848484848484849,1.0,0,17,13,0,14,11,0,0,0,0,18,-1.0
71,requests,192,0,12,204,327,14,0.22569570650825876,0.39259259259259266,0.0888888888888889,1.0,0,21,14,0,15,14,0,0,0,0,22,-1.0
6,assertives,194,0,12,206,321,15,0.22840207597075807,0.38423520923520926,0.07635281385281387,1.0,0,19,14,0,18,14,0,0,0,0,20,-1.0
7,instruction,181,0,13,194,301,14,0.2054187335953257,0.3853732126459399,0.07805981896890989,1.0,0,18,13,0,17,13,0,0,0,0,18,-1.0
5,instruction,180,0,14,194,304,17,0.17985054538261314,0.37902711323763955,0.11806526806526808,0.9444444444444443,0,20,13,0,18,12,0,0,0,0,18,-1.0
8,requests,208,0,14,222,348,14,0.19566290496959599,0.37387387387387383,0.08666666666666668,0.9722222222222222,0,19,13,0,17,12,0,0,0,0,20,-1.0
9,requests,206,0,17,223,354,14,0.14327790663798826,0.3724783549783549,0.08268398268398268,0.9743589743589743,0,20,13,0,20,13,0,0,0,0,23,-1.0
69,instruction,164,0,9,173,263,15,0.2637727661496045,0.39214365881032553,0.08821548821548822,1.0,0,16,12,0,14,10,0,0,0,0,17,-1.0
68,instruction,149,0,7,156,222,15,0.26484767609473264,0.39004329004329014,0.08506493506493505,1.0,0,17,11,0,14,8,0,0,0,0,14,-1.0
65,assertives,137,0,2,139,158,17,0.39112838013506185,0.3944444444444444,0.09166666666666666,1.0,0,17,8,0,13,3,0,0,0,0,14,-1.0
64,instruction,132,0,1,133,139,26,0.18580913977408955,0.40079365079365087,0.10119047619047619,1.0,0,18,7,0,13,0,0,0,0,0,13,-1.0
66,instruction,141,0,4,145,184,16,0.37015313240196135,0.3894360269360271,0.08415404040404038,1.0,0,18,9,0,14,6,0,0,0,0,14,-1.0
61,instruction,133,0,2,135,138,26,0.02140083281169009,0.35833333333333334,0.25555555555555554,0.6666666666666666,0,13,1,0,6,0,0,0,0,0,13,-1.0
60,instruction,133,0,2,135,138,26,0.02140083281169009,0.35833333333333334,0.25555555555555554,0.6666666666666666,0,13,1,0,8,0,0,0,0,0,13,-1.0
62,instruction,133,0,2,135,138,26,0.021400832811690085,0.35833333333333334,0.25555555555555554,0.6666666666666666,0,13,1,0,4,0,0,0,0,0,13,-1.0
52,instruction,173,0,13,186,294,14,0.18731472647956668,0.40759543486816224,0.11139315230224321,1.0,0,18,15,0,16,15,0,0,0,0,19,-1.0
57,assertives,174,0,12,186,291,14,0.20609351011117857,0.3922459893048129,0.1160737812911726,0.9696969696969698,0,18,16,0,13,11,0,0,0,0,19,-1.0
58,requests,202,0,14,216,343,15,0.21477148119183942,0.39250000000000007,0.11234567901234567,0.9743589743589743,0,21,21,0,13,11,0,0,0,0,22,-1.0
59,instruction,133,0,2,135,138,26,0.021400832811690095,0.35833333333333334,0.25555555555555554,0.6666666666666666,0,13,1,0,10,0,0,0,0,0,13,-1.0
50,assertives,197,0,15,212,340,14,0.19212976067501122,0.40341880341880354,0.10512820512820513,1.0,0,22,15,0,18,15,0,0,0,0,23,-1.0
51,requests,197,0,15,212,340,15,0.19212976067501125,0.40512820512820524,0.10769230769230768,1.0,0,22,16,0,17,16,0,0,0,0,23,-1.0
53,requests,196,0,15,211,341,14,0.13757554730306298,0.38916666666666666,0.10740740740740741,0.9743589743589743,0,20,18,0,18,18,0,0,0,0,22,-1.0
54,instruction,143,0,7,150,193,17,0.2908424002729203,0.42763347763347775,0.14145021645021644,1.0,0,17,10,0,13,5,0,0,0,0,14,-1.0
55,instruction,153,0,9,162,227,18,0.2712217715290857,0.4180065965780252,0.12700989486703776,1.0,0,16,11,0,13,7,0,0,0,0,16,-1.0
56,instruction,161,0,11,172,259,14,0.17054620305361412,0.38831168831168844,0.11610845295055822,0.9629629629629631,0,15,12,0,14,11,0,0,0,0,17,-1.0
46,instruction,170,0,13,183,271,16,0.17663944520330932,0.361457896941768,0.12881880024737166,0.85,0,23,11,0,20,8,0,0,0,0,20,-1.0
42,assertives,193,0,17,210,319,14,0.10601136500668767,0.377000777000777,0.1371492704826038,0.9166666666666666,0,18,13,0,19,12,0,0,0,0,19,-1.0
