,label,entities,agents,activities,nodes,edges,diameter,assortativity,acc,acc_e,acc_a,acc_ag,mfd_e_e,mfd_e_a,mfd_e_ag,mfd_a_e,mfd_a_a,mfd_a_ag,mfd_ag_e,mfd_ag_a,mfd_ag_ag,mfd_der,powerlaw_alpha
21,requests,101,0,4,105,147,10,0.26977516222862075,0.39393939393939387,0.0909090909090909,1.0,0,11,8,0,9,7,0,0,0,0,10,-1.0
20,commissives,124,0,6,130,194,11,0.25121933227043886,0.3902356902356904,0.08535353535353535,1.0,0,11,11,0,11,9,0,0,0,0,12,-1.0
23,assertives,127,0,8,135,205,11,0.11573449845552601,0.39511784511784526,0.09267676767676768,1.0,0,12,12,0,12,12,0,0,0,0,11,-1.0
25,instruction,105,0,7,112,168,10,0.1775660657797646,0.3877104377104377,0.08156565656565655,1.0,0,10,9,0,10,9,0,0,0,0,10,-1.0
24,instruction,99,0,4,103,140,11,0.2519332149662197,0.3910894660894661,0.08663419913419913,1.0,0,11,8,0,9,6,0,0,0,0,9,-1.0
27,assertives,133,0,8,141,206,11,0.12601645835659198,0.38282828282828296,0.07424242424242423,1.0,0,13,9,0,12,8,0,0,0,0,13,-1.0
26,requests,129,0,10,139,214,10,0.1682813776265889,0.3885101010101011,0.08276515151515151,1.0,0,13,9,0,13,9,0,0,0,0,13,-1.0
29,assertives,122,0,9,131,199,10,0.1272059309785761,0.3768201495474223,0.10822510822510822,0.9523809523809524,0,12,9,0,10,8,0,0,0,0,13,-1.0
28,assertives,135,0,10,145,221,11,0.14974232850729308,0.38096969696969696,0.10926916221033868,0.9583333333333334,0,14,10,0,12,10,0,0,0,0,15,-1.0
14,assertives,132,0,12,144,223,11,0.06103535627339922,0.37293506493506484,0.09745352686529157,0.9583333333333333,0,14,10,0,12,9,0,0,0,0,17,3.718601533660651
15,assertives,148,0,13,161,255,12,0.07704362747485792,0.3599791013584117,0.10530303030303031,0.925925925925926,0,17,10,0,11,9,0,0,0,0,18,-1.0
16,instruction,121,0,8,129,197,10,0.17130687228371524,0.38140495867768603,0.11494949494949497,0.9523809523809524,0,12,9,0,9,7,0,0,0,0,13,-1.0
17,requests,133,0,10,143,219,11,0.07988130375448421,0.38712121212121214,0.11435406698564594,0.9629629629629631,0,15,10,0,15,10,0,0,0,0,13,-1.0
10,requests,127,0,10,137,211,11,0.13077468637687165,0.38493867243867247,0.07740800865800865,1.0,0,12,10,0,12,10,0,0,0,0,12,-1.0
11,instruction,122,0,10,132,202,10,0.07545439215580894,0.37645887445887455,0.10263559969442321,0.9583333333333334,0,11,9,0,11,9,0,0,0,0,12,-1.0
12,commissives,144,0,12,156,243,10,0.11413949412430234,0.3629090909090909,0.08270944741532976,0.9583333333333334,0,16,9,0,10,9,0,0,0,0,17,-1.0
13,requests,141,0,13,154,241,11,0.07830902660968982,0.3704236239950526,0.08974709501025291,0.9629629629629631,0,15,10,0,13,10,0,0,0,0,16,-1.0
18,instruction,118,0,8,126,183,12,0.14392897177460012,0.3913223140495869,0.12949494949494952,0.9523809523809524,0,14,8,0,13,8,0,0,0,0,11,-1.0
19,instruction,124,0,8,132,200,13,0.18560532634541577,0.38443526170798903,0.11939393939393941,0.9523809523809524,0,13,9,0,11,8,0,0,0,0,13,-1.0
74,requests,134,0,8,142,221,10,0.19970513614028138,0.3946969696969697,0.09204545454545454,1.0,0,14,12,0,10,9,0,0,0,0,15,-1.0
75,requests,134,0,8,142,221,11,0.19970513614028146,0.3974747474747476,0.09621212121212122,1.0,0,14,14,0,9,0,0,0,0,0,15,-1.0
72,assertives,114,0,7,121,190,10,0.1513694009720353,0.3900432900432901,0.08506493506493507,1.0,0,11,9,0,9,8,0,0,0,0,12,-1.0
73,requests,129,0,8,137,216,10,0.17513747840098365,0.39469696969696977,0.09204545454545454,1.0,0,14,10,0,10,9,0,0,0,0,15,-1.0
70,instruction,105,0,6,111,171,10,0.15813602326651524,0.38767436267436284,0.081511544011544,1.0,0,12,9,0,10,8,0,0,0,0,10,-1.0
