,label,entities,agents,activities,nodes,edges,diameter,assortativity,acc,acc_e,acc_a,acc_ag,mfd_e_e,mfd_e_a,mfd_e_ag,mfd_a_e,mfd_a_a,mfd_a_ag,mfd_ag_e,mfd_ag_a,mfd_ag_ag,mfd_der,powerlaw_alpha
21,requests,65,0,2,67,87,7,0.21247312558578518,0.39393939393939387,0.09090909090909091,1.0,0,7,5,0,6,3,0,0,0,0,6,-1
20,commissives,77,0,5,82,121,8,-0.039701808296401075,0.3995959595959598,0.09939393939393938,1.0,0,8,8,0,8,8,0,0,0,0,7,-1
23,assertives,74,0,3,77,108,8,0.19055172578879795,0.3939393939393939,0.0909090909090909,1.0,0,8,9,0,6,6,0,0,0,0,7,-1
25,instruction,67,0,3,70,99,7,0.12366278326173591,0.3947250280583614,0.09208754208754209,1.0,0,7,6,0,7,6,0,0,0,0,6,-1
24,instruction,64,0,2,66,83,8,0.16066511988461063,0.39604377104377103,0.09406565656565657,1.0,0,8,5,0,7,4,0,0,0,0,6,-1
27,assertives,79,0,3,82,110,8,0.17477074640482432,0.3865319865319865,0.0797979797979798,1.0,0,7,6,0,5,5,0,0,0,0,8,-1
26,requests,81,0,5,86,129,7,0.07834113286702787,0.390909090909091,0.08636363636363635,1.0,0,7,6,0,7,6,0,0,0,0,8,-1
29,assertives,78,0,6,84,121,10,-0.038556037215729366,0.3894360269360269,0.0841540404040404,1.0,0,8,6,0,7,6,0,0,0,0,6,-1
28,assertives,77,0,5,82,115,8,0.16495666059579217,0.3865319865319865,0.0797979797979798,1.0,0,7,7,0,6,5,0,0,0,0,8,-1
14,assertives,79,0,7,86,127,9,-0.018497564412471582,0.37784090909090906,0.12534435261707988,0.9333333333333332,0,7,6,0,6,5,0,0,0,0,7,-1
15,assertives,98,0,9,107,162,11,0.05126770045204998,0.3579545454545454,0.09641873278236913,0.9333333333333332,0,11,7,0,6,6,0,0,0,0,12,-1
16,instruction,71,0,3,74,105,7,0.1672964606455985,0.393939393939394,0.0909090909090909,1.0,0,6,6,0,5,4,0,0,0,0,7,-1
17,requests,85,0,7,92,135,8,0.039998933193392754,0.40892255892255897,0.11338383838383838,1.0,0,7,7,0,7,7,0,0,0,0,8,-1
10,requests,78,0,5,83,129,8,0.05320333213159876,0.38626262626262625,0.07939393939393938,1.0,0,9,7,0,9,6,0,0,0,0,8,-1
11,instruction,75,0,4,79,117,7,0.029417997552638863,0.3828282828282828,0.07424242424242423,1.0,0,8,6,0,7,5,0,0,0,0,7,-1
12,commissives,81,0,4,85,125,7,0.1179845748575866,0.37727272727272726,0.0659090909090909,1.0,0,7,6,0,6,5,0,0,0,0,8,-1
13,requests,78,0,7,85,126,7,0.004821923628191329,0.38842712842712845,0.08264069264069263,1.0,0,6,7,0,6,7,0,0,0,0,7,-1
18,instruction,76,0,5,81,112,10,0.08607562661010706,0.38456543456543457,0.1480759980759981,0.9166666666666666,0,7,6,0,6,4,0,0,0,0,8,-1
19,instruction,72,0,5,77,112,10,0.06806974931356499,0.382983682983683,0.1457912457912458,0.9166666666666666,0,6,7,0,5,4,0,0,0,0,7,-1
74,requests,83,0,5,88,134,7,0.10134002600866283,0.3951515151515152,0.09272727272727271,1.0,0,8,6,0,7,6,0,0,0,0,9,-1
75,requests,82,0,5,87,133,8,0.09245565408201208,0.39959595959595967,0.09939393939393938,1.0,0,8,8,0,6,0,0,0,0,0,9,-1
72,assertives,69,0,4,73,111,7,0.03856107121681496,0.38454184704184696,0.07681277056277055,1.0,0,7,6,0,6,5,0,0,0,0,6,-1
73,requests,80,0,5,85,132,7,0.06170393967874674,0.39292929292929296,0.08939393939393939,1.0,0,8,6,0,7,6,0,0,0,0,9,-1
70,instruction,67,0,3,70,96,7,0.12379902068955981,0.3975468975468975,0.0963203463203463,1.0,0,7,6,0,6,5,0,0,0,0,6,-1
71,requests,71,0,4,75,111,7,0.07829530267199244,0.3926767676767677,0.0890151515151515,1.0,0,8,7,0,8,7,0,0,0,0,7,-1
6,assertives,73,0,4,77,111,8,0.12288547790249278,0.4010101010101011,0.1015151515151515,1.0,0,9,7,0,9,7,0,0,0,0,7,-1
7,instruction,70,0,5,75,111,7,-0.0016581946675355097,0.39942760942760935,0.09914141414141411,1.0,0,8,6,0,8,6,0,0,0,0,6,-1
5,instruction,71,0,7,78,113,10,-0.034442142066149206,0.374471606824548,0.1693903318903319,0.8666666666666666,0,8,6,0,6,4,0,0,0,0,6,-1
8,requests,81,0,4,85,127,7,0.14953366946074528,0.3828282828282828,0.07424242424242423,1.0,0,8,6,0,7,5,0,0,0,0,9,-1
9,requests,75,0,4,79,115,7,0.11512870684366314,0.38712121212121214,0.08068181818181817,1.0,0,7,6,0,7,6,0,0,0,0,8,-1
69,instruction,65,0,2,67,86,8,0.1969878552644824,0.3944444444444444,0.09166666666666666,1.0,0,7,5,0,6,3,0,0,0,0,6,-1
68,instruction,62,0,1,63,68,12,0.0183346081211148,0.4047619047619048,0.10714285714285714,1.0,0,8,4,0,6,0,0,0,0,0,6,-1
65,assertives,61,0,0,61,60,12,-1.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0,0,6,-1
64,instruction,61,0,0,61,60,12,-1.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0,0,6,-1
66,instruction,61,0,0,61,60,12,-1.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0,0,6,-1
61,instruction,62,0,2,64,65,12,0.01186173519973956,0.4777777777777778,0.21666666666666667,1.0,0,6,0,0,6,0,0,0,0,0,6,-1
60,instruction,61,0,0,61,60,12,-1.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0,0,6,-1
62,instruction,63,0,2,65,68,12,-0.05602475732586136,0.35833333333333334,0.25555555555555554,0.6666666666666666,0,6,1,0,4,0,0,0,0,0,6,-1
52,instruction,67,0,3,70,101,7,0.13152322648759276,0.39393939393939387,0.0909090909090909,1.0,0,7,6,0,6,4,0,0,0,0,6,-1
57,assertives,67,0,3,70,100,7,0.12720668738661894,0.3942760942760942,0.0914141414141414,1.0,0,7,6,0,6,4,0,0,0,0,6,-1
58,requests,80,0,5,85,133,8,0.051533400479396335,0.39610389610389624,0.09415584415584415,1.0,0,8,8,0,6,0,0,0,0,0,9,-1
59,instruction,61,0,0,61,60,12,-1.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0,0,6,-1
50,assertives,79,0,5,84,132,7,0.04065663005420119,0.38721500721500723,0.08082251082251081,1.0,0,9,7,0,9,7,0,0,0,0,8,-1
51,requests,79,0,5,84,132,8,0.04065663005420119,0.3916594516594517,0.08748917748917748,1.0,0,8,8,0,8,8,0,0,0,0,8,-1
53,requests,79,0,4,83,123,7,0.10033447060647682,0.39393939393939403,0.0909090909090909,1.0,0,7,8,0,5,0,0,0,0,0,8,-1
54,instruction,61,0,0,61,60,12,-1.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0,0,6,-1
55,instruction,63,0,2,65,67,12,0.04841765408342906,0.0,0.0,0.0,0,7,3,0,6,2,0,0,0,0,6,-1
56,instruction,66,0,4,70,84,11,0.10480339615862216,0.47474747474747475,0.2121212121212121,1.0,0,8,5,0,6,3,0,0,0,0,6,-1
46,instruction,63,0,2,65,67,12,0.04841765408342907,0.0,0.0,0.0,0,7,3,0,6,2,0,0,0,0,6,-1
42,assertives,76,0,6,82,121,7,0.042880109615705576,0.38409090909090915,0.13443526170798897,0.9333333333333332,0,6,6,0,6,5,0,0,0,0,7,-1
49,requests,82,0,7,89,132,10,-0.013432616077350945,0.3580808080808081,0.13434343434343435,0.8055555555555555,0,8,6,0,8,6,0,0,0,0,8,-1
48,instruction,74,0,6,80,109,10,0.026950051003249022,0.35617715617715623,0.18114478114478116,0.75,0,7,7,0,6,4,0,0,0,0,8,-1
67,instruction,61,0,0,61,60,12,-1.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,0,0,6,-1
47,instruction,69,0,5,74,98,9,0.019226204584863706,0.3696103896103896,0.14706246134817563,0.8888888888888888,0,8,5,0,7,4,0,0,0,0,7,-1
45,instruction,63,0,2,65,68,12,-0.05602475732586137,0.35833333333333334,0.25555555555555554,0.6666666666666666,0,6,1,0,3,0,0,0,0,0,6,-1
44,assertives,91,0,8,99,146,10,0.03622831871341395,0.3963636363636364,0.1852813852813853,0.8888888888888888,0,9,9,0,5,4,0,0,0,0,10,-1
43,requests,89,0,8,97,136,10,0.12066236091767349,0.42519936204146747,0.18554778554778556,0.9444444444444443,0,9,7,0,7,4,0,0,0,0,10,-1
41,directives(request),90,0,8,98,144,11,-0.005077295020537674,0.4218855218855219,0.13282828282828282,1.0,0,7,7,0,6,7,0,0,0,0,8,-1
40,instruction,84,0,6,90,129,10,0.1283919250473535,0.3954545454545455,0.09318181818181817,1.0,0,7,6,0,7,6,0,0,0,0,8,-1
32,requests,82,0,7,89,135,9,-0.05742046021702048,0.38389154704944184,0.12517482517482517,0.9444444444444445,0,7,7,0,7,7,0,0,0,0,8,-1
33,requests,83,0,4,87,129,8,0.1654482615733808,0.38838383838383844,0.08257575757575757,1.0,0,8,8,0,7,7,0,0,0,0,9,-1
30,requests,90,0,7,97,147,8,0.04170310083524079,0.37253787878787886,0.11763085399449034,0.9333333333333332,0,9,7,0,7,6,0,0,0,0,10,-1
31,instruction,76,0,5,81,116,8,0.1007388607244185,0.3727272727272727,0.13097643097643097,0.9166666666666666,0,7,6,0,5,4,0,0,0,0,8,-1
36,instruction,63,0,3,66,76,8,0.2360942804479188,0.393939393939394,0.09090909090909091,1.0,0,8,5,0,8,5,0,0,0,0,6,-1
37,instruction,69,0,5,74,105,8,0.08868030401877627,0.3953423120089787,0.09301346801346799,1.0,0,8,6,0,7,5,0,0,0,0,6,-1
34,instruction,67,0,3,70,97,7,0.12131488354945753,0.3962241462241462,0.09433621933621933,1.0,0,7,6,0,6,4,0,0,0,0,6,-1
35,commissives,80,0,5,85,128,8,0.0542116493630154,0.3995959595959596,0.09939393939393938,1.0,0,9,9,0,9,9,0,0,0,0,8,-1
38,requests,86,0,6,92,133,10,0.052024648215022576,0.38838383838383833,0.08257575757575757,1.0,0,8,9,0,7,8,0,0,0,0,8,-1
39,instruction,66,0,6,72,88,11,0.08290437401637868,0.47474747474747475,0.2121212121212121,1.0,0,8,5,0,7,4,0,0,0,0,6,-1
