,label,entities,agents,activities,nodes,edges,diameter,assortativity,acc,acc_e,acc_a,acc_ag,mfd_e_e,mfd_e_a,mfd_e_ag,mfd_a_e,mfd_a_a,mfd_a_ag,mfd_ag_e,mfd_ag_a,mfd_ag_ag,mfd_der,powerlaw_alpha
21,requests,11,0,0,11,10,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
20,commissives,11,0,0,11,10,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
23,assertives,11,0,0,11,10,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
25,instruction,11,0,0,11,10,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
24,instruction,11,0,0,11,10,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
27,assertives,11,0,0,11,10,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
26,requests,11,0,0,11,10,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
29,assertives,11,0,0,11,10,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
28,assertives,11,0,0,11,10,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
14,assertives,11,0,0,11,10,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
15,assertives,11,0,0,11,10,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
16,instruction,11,0,0,11,10,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
17,requests,11,0,0,11,10,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
10,requests,11,0,0,11,10,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
11,instruction,11,0,0,11,10,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
12,commissives,11,0,0,11,10,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
13,requests,11,0,0,11,10,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
18,instruction,11,0,0,11,10,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
19,instruction,11,0,0,11,10,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
74,requests,11,0,0,11,10,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
75,requests,11,0,0,11,10,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
72,assertives,11,0,0,11,10,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
73,requests,11,0,0,11,10,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
70,instruction,11,0,0,11,10,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
71,requests,11,0,0,11,10,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
6,assertives,11,0,0,11,10,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-1
