,label,entities,agents,activities,nodes,edges,diameter,assortativity,acc,acc_e,acc_a,acc_ag,mfd_e_e,mfd_e_a,mfd_e_ag,mfd_a_e,mfd_a_a,mfd_a_ag,mfd_ag_e,mfd_ag_a,mfd_ag_ag,mfd_der,powerlaw_alpha
21,requests,199,0,11,210,309,16,0.3181504003972249,0.3865319865319866,0.07979797979797981,1.0,0,20,14,0,17,14,0,0,0,0,21,-1.0
20,commissives,231,0,16,247,388,17,0.25395366796959984,0.3892496392496393,0.08387445887445888,1.0,0,23,17,0,19,17,0,0,0,0,24,-1.0
23,assertives,241,0,17,258,407,17,0.18872048531473862,0.3825428194993414,0.09452590420332357,0.9777777777777777,0,23,18,0,19,18,0,0,0,0,24,-1.0
25,instruction,208,0,15,223,350,16,0.16591708268144237,0.38083333333333336,0.09506172839506173,0.9743589743589743,0,19,15,0,17,13,0,0,0,0,20,-1.0
24,instruction,193,0,12,205,305,17,0.19111512059273725,0.3764418377321604,0.09538239538239537,0.9666666666666666,0,20,14,0,16,12,0,0,0,0,19,-1.0
27,assertives,241,0,15,256,393,17,0.24282594347464376,0.3787121212121213,0.0919191919191919,0.9743589743589743,0,25,15,0,19,14,0,0,0,0,26,-1.0
26,requests,240,0,17,257,408,16,0.1985901978519147,0.38109354413702257,0.09237536656891496,0.9777777777777777,0,25,15,0,19,15,0,0,0,0,26,-1.0
29,assertives,222,0,17,239,372,16,0.21489578998339515,0.3841666666666667,0.09999999999999999,0.9743589743589743,0,23,15,0,21,14,0,0,0,0,24,-1.0
28,assertives,239,0,18,257,401,17,0.22424790329405583,0.38329809725158576,0.09707419017763845,0.9761904761904762,0,25,16,0,23,16,0,0,0,0,26,-1.0
14,assertives,236,0,17,253,391,17,0.18980311412196613,0.3682926829268292,0.09880952380952382,0.9487179487179487,0,27,15,0,24,12,0,0,0,0,27,-1.0
15,assertives,241,0,19,260,410,18,0.16595670636186077,0.3749408983451536,0.10277777777777777,0.9555555555555555,0,26,16,0,26,16,0,0,0,0,27,-1.0
16,instruction,214,0,14,228,352,16,0.2525322763945341,0.3893434343434342,0.10766928544706321,0.9743589743589743,0,22,15,0,21,14,0,0,0,0,22,-1.0
17,requests,234,0,16,250,390,17,0.20409084924996018,0.3871102327624067,0.1013033561420658,0.9777777777777777,0,21,16,0,21,16,0,0,0,0,24,-1.0
10,requests,239,0,19,258,410,17,0.1589406885807641,0.370535138620245,0.09630681818181819,0.9555555555555555,0,26,16,0,21,16,0,0,0,0,27,-1.0
11,instruction,228,0,18,246,387,16,0.16111609284401068,0.37045454545454537,0.09888888888888887,0.9523809523809523,0,25,15,0,20,14,0,0,0,0,26,-1.0
12,commissives,253,0,19,272,432,16,0.17424900816723898,0.367311411992263,0.09157196969696971,0.9555555555555555,0,28,15,0,27,14,0,0,0,0,29,-1.0
13,requests,246,0,18,264,413,16,0.18511023132620685,0.3670110192837466,0.09383838383838385,0.9523809523809523,0,27,16,0,25,14,0,0,0,0,28,-1.0
