,label,entities,agents,activities,nodes,edges,diameter,assortativity,acc,acc_e,acc_a,acc_ag,mfd_e_e,mfd_e_a,mfd_e_ag,mfd_a_e,mfd_a_a,mfd_a_ag,mfd_ag_e,mfd_ag_a,mfd_ag_ag,mfd_der,powerlaw_alpha
21,requests,53,0,1,54,63,6,0.1970081335890768,0.393939393939394,0.09090909090909091,1.0,0,6,4,0,4,0,0,0,0,0,5,-1.0
20,commissives,57,0,3,60,84,7,0.0467165729979027,0.4033670033670033,0.10505050505050505,1.0,0,5,5,0,5,0,0,0,0,0,5,-1.0
23,assertives,62,0,2,64,84,7,0.19110474840610864,0.393939393939394,0.09090909090909091,1.0,0,5,5,0,3,0,0,0,0,0,6,-1.0
25,instruction,55,0,2,57,77,6,0.12859354142230128,0.393939393939394,0.09090909090909091,1.0,0,6,5,0,5,4,0,0,0,0,5,-1.0
24,instruction,52,0,1,53,62,7,0.17525040729173846,0.39494949494949494,0.09242424242424242,1.0,0,7,4,0,5,0,0,0,0,0,5,-1.0
27,assertives,62,0,3,65,87,7,0.0992210919708017,0.4037037037037037,0.10555555555555556,1.0,0,5,5,0,5,5,0,0,0,0,6,-1.0
26,requests,63,0,3,66,91,6,-0.00902826434014628,0.3868686868686868,0.0803030303030303,1.0,0,6,5,0,5,4,0,0,0,0,6,-1.0
29,assertives,59,0,5,64,91,8,0.01849993871217213,0.4033670033670033,0.10505050505050505,1.0,0,6,5,0,5,5,0,0,0,0,5,-1.0
28,assertives,63,0,3,66,94,7,0.03425870545388716,0.3865319865319865,0.0797979797979798,1.0,0,5,6,0,4,5,0,0,0,0,6,-1.0
14,assertives,59,0,5,64,89,7,-0.024537346251952825,0.39595959595959596,0.09393939393939393,1.0,0,6,5,0,5,5,0,0,0,0,5,-1.0
15,assertives,75,0,9,84,125,9,-0.1310301395135821,0.36742424242424243,0.11019283746556474,0.9333333333333332,0,7,6,0,6,6,0,0,0,0,8,3.2523214487844725
16,instruction,57,0,3,60,84,6,0.046716572997902724,0.40336700336700343,0.10505050505050505,1.0,0,5,5,0,5,4,0,0,0,0,5,-1.0
17,requests,63,0,4,67,96,7,0.018926870151056582,0.39816017316017316,0.09724025974025972,1.0,0,6,6,0,6,6,0,0,0,0,6,-1.0
10,requests,59,0,3,62,87,7,0.05530197584187203,0.3922558922558923,0.08838383838383838,1.0,0,5,6,0,5,6,0,0,0,0,6,-1.0
11,instruction,58,0,4,62,90,7,-0.0316118289461512,0.39974747474747474,0.09962121212121211,1.0,0,7,6,0,7,5,0,0,0,0,5,-1.0
12,commissives,63,0,4,67,101,6,0.017599613281256674,0.3898989898989899,0.08484848484848484,1.0,0,6,5,0,6,5,0,0,0,0,6,-1.0
13,requests,63,0,3,66,95,6,0.05185688991887512,0.37912457912457914,0.06868686868686869,1.0,0,5,6,0,4,5,0,0,0,0,6,-1.0
18,instruction,63,0,4,67,85,8,0.10489509419020254,0.4241702741702742,0.13625541125541124,1.0,0,6,5,0,5,3,0,0,0,0,7,-1.0
19,instruction,61,0,5,66,97,9,-0.05078330555364246,0.38456543456543457,0.1480759980759981,0.9166666666666666,0,5,6,0,5,4,0,0,0,0,6,-1.0
74,requests,67,0,4,71,107,6,0.03462475638679687,0.39267676767676774,0.0890151515151515,1.0,0,6,5,0,6,5,0,0,0,0,7,-1.0
75,requests,66,0,4,70,105,7,0.03699097514495709,0.40101010101010104,0.1015151515151515,1.0,0,6,6,0,5,0,0,0,0,0,7,-1.0
72,assertives,57,0,3,60,89,6,0.006305015324358393,0.38731762065095393,0.08097643097643097,1.0,0,6,6,0,6,5,0,0,0,0,5,-1.0
73,requests,62,0,4,66,100,6,-0.07394966786434308,0.3926767676767677,0.0890151515151515,1.0,0,6,6,0,6,5,0,0,0,0,6,-1.0
