,label,entities,agents,activities,nodes,edges,diameter,assortativity,acc,acc_e,acc_a,acc_ag,mfd_e_e,mfd_e_a,mfd_e_ag,mfd_a_e,mfd_a_a,mfd_a_ag,mfd_ag_e,mfd_ag_a,mfd_ag_ag,mfd_der,powerlaw_alpha
21,requests,31,0,0,31,30,6,-1.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,3,-1.0
20,commissives,34,0,2,36,49,5,-0.21848763417719652,0.40808080808080804,0.11212121212121212,1.0,0,3,3,0,3,0,0,0,0,0,3,-1.0
23,assertives,34,0,2,36,48,5,-0.1784302371800915,0.4191919191919191,0.12878787878787878,1.0,0,3,3,0,3,0,0,0,0,0,3,-1.0
25,instruction,32,0,1,33,42,4,-0.06879886078766087,0.39494949494949494,0.09242424242424242,1.0,0,4,3,0,3,0,0,0,0,0,3,-1.0
24,instruction,31,0,0,31,30,6,-1.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,3,-1.0
27,assertives,32,0,1,33,35,6,-0.2448758777134944,0.4444444444444445,0.16666666666666666,1.0,0,3,2,0,3,0,0,0,0,0,3,-1.0
26,requests,32,0,1,33,42,4,-0.06879886078766087,0.39494949494949494,0.09242424242424242,1.0,0,4,3,0,3,0,0,0,0,0,3,-1.0
29,assertives,33,0,1,34,43,5,-0.03732459118227248,0.393939393939394,0.09090909090909091,1.0,0,3,3,0,2,0,0,0,0,0,3,-1.0
28,assertives,33,0,1,34,43,5,-0.03732459118227248,0.393939393939394,0.09090909090909091,1.0,0,3,3,0,2,0,0,0,0,0,3,3.2163551276449223
14,assertives,33,0,1,34,43,5,-0.03732459118227248,0.393939393939394,0.09090909090909091,1.0,0,3,3,0,2,0,0,0,0,0,3,-1.0
15,assertives,35,0,3,38,48,6,-0.14667632468502736,0.393939393939394,0.09090909090909091,1.0,0,3,3,0,3,0,0,0,0,0,3,-1.0
16,instruction,33,0,1,34,43,5,-0.0373245911822725,0.393939393939394,0.09090909090909091,1.0,0,3,3,0,2,0,0,0,0,0,3,-1.0
17,requests,34,0,2,36,48,5,-0.17843023718009154,0.4191919191919191,0.12878787878787878,1.0,0,3,3,0,3,0,0,0,0,0,3,-1.0
10,requests,34,0,2,36,50,5,-0.25184140019443546,0.39141414141414144,0.08712121212121211,1.0,0,3,4,0,3,3,0,0,0,0,3,-1.0
11,instruction,33,0,1,34,43,5,-0.03732459118227251,0.393939393939394,0.09090909090909091,1.0,0,3,3,0,2,0,0,0,0,0,3,3.1239944004355706
12,commissives,33,0,2,35,48,4,-0.2463735834614853,0.3974747474747475,0.09621212121212122,1.0,0,4,3,0,4,3,0,0,0,0,3,-1.0
13,requests,34,0,2,36,50,5,-0.25184140019443546,0.39141414141414144,0.08712121212121211,1.0,0,3,4,0,3,3,0,0,0,0,3,-1.0
18,instruction,32,0,1,33,37,6,-0.24135202784339466,0.41111111111111115,0.11666666666666667,1.0,0,3,2,0,3,0,0,0,0,0,3,-1.0
19,instruction,36,0,3,39,50,6,-0.05758167996310986,0.4358585858585859,0.15378787878787878,1.0,0,3,3,0,3,0,0,0,0,0,4,-1.0
74,requests,33,0,2,35,49,4,-0.2789201585430245,0.39191919191919194,0.08787878787878786,1.0,0,4,3,0,4,3,0,0,0,0,3,-1.0
75,requests,34,0,2,36,50,5,-0.25184140019443546,0.4025252525252525,0.10378787878787879,1.0,0,3,3,0,3,0,0,0,0,0,3,-1.0
72,assertives,33,0,2,35,52,4,-0.3426618310635494,0.38543771043771047,0.07815656565656566,1.0,0,4,3,0,4,3,0,0,0,0,3,-1.0
73,requests,33,0,1,34,43,5,-0.03732459118227248,0.393939393939394,0.09090909090909091,1.0,0,3,3,0,2,0,0,0,0,0,3,-1.0
70,instruction,32,0,1,33,42,4,-0.06879886078766087,0.39494949494949494,0.09242424242424242,1.0,0,4,3,0,3,0,0,0,0,0,3,-1.0
71,requests,33,0,1,34,43,5,-0.03732459118227248,0.393939393939394,0.09090909090909091,1.0,0,3,3,0,2,0,0,0,0,0,3,-1.0
6,assertives,34,0,2,36,50,5,-0.25184140019443546,0.39141414141414144,0.08712121212121213,1.0,0,3,4,0,3,3,0,0,0,0,3,-1.0
7,instruction,33,0,1,34,43,5,-0.03732459118227248,0.393939393939394,0.09090909090909091,1.0,0,3,3,0,2,0,0,0,0,0,3,-1.0
5,instruction,34,0,5,39,48,6,-0.30070560661955287,0.45343915343915353,0.18015873015873016,1.0,0,4,3,0,3,0,0,0,0,0,3,-1.0
8,requests,32,0,1,33,42,4,-0.06879886078766087,0.39494949494949494,0.09242424242424242,1.0,0,4,3,0,3,0,0,0,0,0,3,-1.0
9,requests,33,0,2,35,50,4,-0.3055555555555556,0.3887445887445888,0.08311688311688312,1.0,0,4,3,0,4,3,0,0,0,0,3,-1.0
69,instruction,31,0,0,31,30,6,-1.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,3,-1.0
68,instruction,31,0,0,31,30,6,-1.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,3,-1.0
65,assertives,31,0,0,31,30,6,-1.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,3,-1.0
64,instruction,31,0,0,31,30,6,-1.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,3,-1.0
66,instruction,31,0,0,31,30,6,-1.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,3,-1.0
61,instruction,31,0,0,31,30,6,-1.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,3,-1.0
60,instruction,31,0,0,31,30,6,-1.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,3,-1.0
62,instruction,31,0,0,31,30,6,-1.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,3,-1.0
52,instruction,32,0,1,33,42,4,-0.06879886078766087,0.39494949494949494,0.09242424242424242,1.0,0,4,3,0,3,0,0,0,0,0,3,-1.0
57,assertives,32,0,1,33,42,4,-0.06879886078766087,0.39494949494949494,0.09242424242424242,1.0,0,4,3,0,3,0,0,0,0,0,3,-1.0
58,requests,34,0,2,36,52,5,-0.30215116234279765,0.3973665223665223,0.09604978354978355,1.0,0,3,3,0,3,0,0,0,0,0,3,-1.0
59,instruction,31,0,0,31,30,6,-1.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,3,-1.0
50,assertives,33,0,2,35,50,4,-0.3055555555555556,0.3887445887445888,0.08311688311688312,1.0,0,4,3,0,4,3,0,0,0,0,3,-1.0
51,requests,33,0,1,34,43,5,-0.037324591182272465,0.393939393939394,0.09090909090909091,1.0,0,3,3,0,2,0,0,0,0,0,3,-1.0
53,requests,34,0,2,36,51,5,-0.27954210655817596,0.39935064935064934,0.09902597402597402,1.0,0,3,3,0,3,0,0,0,0,0,3,-1.0
54,instruction,31,0,0,31,30,6,-1.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,3,-1.0
55,instruction,31,0,0,31,30,6,-1.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,3,-1.0
56,instruction,31,0,2,33,34,6,-0.057169060982691845,0.0,0.0,0.0,0,3,0,0,3,0,0,0,0,0,3,-1.0
46,instruction,31,0,0,31,30,6,-1.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,3,-1.0
42,assertives,33,0,1,34,43,5,-0.03732459118227251,0.393939393939394,0.09090909090909091,1.0,0,3,3,0,2,0,0,0,0,0,3,3.2163551276449223
49,requests,34,0,3,37,50,6,-0.2501615717870465,0.33796296296296297,0.1736111111111111,0.6666666666666666,0,4,3,0,3,2,0,0,0,0,3,-1.0
48,instruction,33,0,3,36,45,6,-0.20300405774429098,0.43796296296296294,0.15694444444444444,1.0,0,4,3,0,3,0,0,0,0,0,3,-1.0
67,instruction,31,0,0,31,30,6,-1.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0,3,-1.0
47,instruction,31,0,2,33,34,6,-0.05716906098269183,0.0,0.0,0.0,0,3,0,0,3,0,0,0,0,0,3,-1.0
45,instruction,32,0,2,34,35,6,-0.11180684019726973,0.4777777777777778,0.21666666666666667,1.0,0,3,0,0,3,0,0,0,0,0,3,-1.0
44,assertives,36,0,4,40,57,6,-0.3295054657280372,0.41818181818181815,0.21645021645021648,0.8888888888888888,0,3,3,0,3,0,0,0,0,0,3,-1.0
43,requests,32,0,1,33,35,6,-0.24487587771349437,0.4444444444444444,0.16666666666666666,1.0,0,3,2,0,3,0,0,0,0,0,3,-1.0
41,directives(request),36,0,4,40,55,6,-0.2019553302848776,0.396969696969697,0.09545454545454546,1.0,0,3,4,0,3,3,0,0,0,0,4,-1.0
40,instruction,32,0,1,33,42,4,-0.06879886078766087,0.39494949494949494,0.09242424242424242,1.0,0,4,3,0,3,0,0,0,0,0,3,-1.0
32,requests,37,0,4,41,59,6,-0.32342064042691065,0.37818181818181823,0.1593073593073593,0.8888888888888888,0,3,3,0,3,3,0,0,0,0,4,-1.0
33,requests,33,0,1,34,43,5,-0.03732459118227248,0.393939393939394,0.09090909090909091,1.0,0,3,3,0,2,0,0,0,0,0,3,-1.0
