,label,entities,agents,activities,nodes,edges,diameter,assortativity,acc,acc_e,acc_a,acc_ag,mfd_e_e,mfd_e_a,mfd_e_ag,mfd_a_e,mfd_a_a,mfd_a_ag,mfd_ag_e,mfd_ag_a,mfd_ag_ag,mfd_der,powerlaw_alpha
21,requests,77,0,3,80,105,8,0.19457155326017198,0.3996632996632996,0.09949494949494948,1.0,0,8,6,0,7,4,0,0,0,0,7,-1.0
20,commissives,101,0,5,106,159,9,0.20220304976821768,0.38949494949494967,0.08424242424242423,1.0,0,9,9,0,8,8,0,0,0,0,10,-1.0
23,assertives,87,0,5,92,135,9,0.14216718839581882,0.4045117845117845,0.10676767676767676,1.0,0,10,10,0,10,10,0,0,0,0,8,-1.0
25,instruction,79,0,4,83,120,8,0.14007324291605552,0.3910894660894661,0.08663419913419913,1.0,0,8,7,0,7,6,0,0,0,0,7,-1.0
24,instruction,75,0,2,77,97,9,0.26814037479442804,0.393939393939394,0.09090909090909091,1.0,0,9,6,0,7,4,0,0,0,0,7,-1.0
27,assertives,93,0,5,98,131,9,0.24885088981735165,0.3865319865319865,0.0797979797979798,1.0,0,9,7,0,7,5,0,0,0,0,10,-1.0
26,requests,99,0,5,104,154,8,0.14936023316332137,0.3806060606060607,0.0709090909090909,1.0,0,9,7,0,7,6,0,0,0,0,10,-1.0
29,assertives,96,0,8,104,156,8,0.05610198026509031,0.4060125060125061,0.10901875901875901,1.0,0,9,7,0,8,7,0,0,0,0,9,-1.0
28,assertives,93,0,8,101,154,9,0.08810867434310522,0.3941077441077442,0.09116161616161615,1.0,0,10,8,0,10,8,0,0,0,0,9,-1.0
14,assertives,100,0,10,110,167,10,0.038293808164443256,0.37161084529505584,0.10722610722610723,0.9444444444444443,0,11,7,0,7,6,0,0,0,0,12,-1.0
15,assertives,112,0,11,123,191,11,0.016884715386209656,0.3700708382526564,0.09832611832611833,0.9523809523809523,0,12,10,0,10,9,0,0,0,0,15,3.6218294312875674
16,instruction,84,0,5,89,129,8,0.1252094177732456,0.3973160173160173,0.09597402597402596,1.0,0,9,7,0,8,6,0,0,0,0,8,-1.0
17,requests,101,0,7,108,165,9,0.12414039430778925,0.3794258373205742,0.11864801864801867,0.9444444444444443,0,10,8,0,7,7,0,0,0,0,11,-1.0
10,requests,94,0,6,100,156,9,0.11140793550908736,0.38754208754208763,0.0813131313131313,1.0,0,10,8,0,10,8,0,0,0,0,9,-1.0
11,instruction,91,0,5,96,142,8,0.16200711460196873,0.3862626262626263,0.07939393939393938,1.0,0,9,7,0,8,6,0,0,0,0,9,-1.0
12,commissives,96,0,8,104,156,8,0.07228172584516077,0.3856421356421357,0.07846320346320344,1.0,0,8,7,0,8,7,0,0,0,0,9,-1.0
13,requests,103,0,9,112,170,9,-0.04030189847745074,0.3761707988980716,0.10727272727272726,0.9523809523809523,0,8,8,0,7,8,0,0,0,0,9,-1.0
18,instruction,87,0,5,92,127,11,0.17066659265901915,0.382983682983683,0.1457912457912458,0.9166666666666666,0,8,7,0,6,4,0,0,0,0,9,-1.0
19,instruction,84,0,6,90,129,11,0.0989800567568166,0.3903409090909091,0.14352617079889807,0.9333333333333332,0,7,8,0,7,6,0,0,0,0,8,-1.0
74,requests,99,0,6,105,162,8,0.13785170263461935,0.39494949494949494,0.09242424242424242,1.0,0,10,8,0,8,7,0,0,0,0,11,-1.0
