label,entities,agents,activities,nodes,edges,diameter,assortativity,acc,acc_e,acc_a,acc_ag,mfd_e_e,mfd_e_a,mfd_e_ag,mfd_a_e,mfd_a_a,mfd_a_ag,mfd_ag_e,mfd_ag_a,mfd_ag_ag,mfd_der,powerlaw_alpha
u_2,3,4,3,10,10,6,0.25,0.5555555555555555,0.3333333333333333,0.3333333333333333,1.0,4,5,6,3,4,5,0,0,0,-1,-1
u_2,3,4,3,10,10,6,0.25,0.5555555555555555,0.3333333333333333,0.3333333333333333,1.0,4,5,6,3,4,5,0,0,0,-1,-1
u_2,3,4,3,10,10,6,0.25,0.5555555555555555,0.3333333333333333,0.3333333333333333,1.0,4,5,6,3,4,5,0,0,0,-1,-1
u_2,3,4,3,10,10,6,0.25,0.5555555555555555,0.3333333333333333,0.3333333333333333,1.0,4,5,6,3,4,5,0,0,0,-1,-1
u_2,3,4,3,10,10,6,0.25,0.5555555555555555,0.3333333333333333,0.3333333333333333,1.0,4,5,6,3,4,5,0,0,0,-1,-1
u_2,1,1,2,4,4,2,-0.57735026918962584,0.7777777777777777,1.0,1.0,0.3333333333333333,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,2,4,4,2,-0.57735026918962584,0.7777777777777777,1.0,1.0,0.3333333333333333,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,2,4,4,2,-0.57735026918962584,0.7777777777777777,1.0,1.0,0.3333333333333333,0,1,1,0,0,1,0,0,0,-1,-1
u_2,3,4,3,10,10,6,0.25,0.5555555555555555,0.3333333333333333,0.3333333333333333,1.0,4,5,6,3,4,5,0,0,0,-1,-1
u_2,3,4,3,10,10,6,0.25,0.5555555555555555,0.3333333333333333,0.3333333333333333,1.0,4,5,6,3,4,5,0,0,0,-1,-1
u_2,3,4,3,10,10,6,0.25,0.5555555555555555,0.3333333333333333,0.3333333333333333,1.0,4,5,6,3,4,5,0,0,0,-1,-1
u_2,1,1,2,4,4,2,-0.57735026918962584,0.7777777777777777,1.0,1.0,0.3333333333333333,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,2,4,4,2,-0.57735026918962584,0.7777777777777777,1.0,1.0,0.3333333333333333,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,2,4,4,2,-0.57735026918962584,0.7777777777777777,1.0,1.0,0.3333333333333333,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,2,4,4,2,-0.57735026918962584,0.7777777777777777,1.0,1.0,0.3333333333333333,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,2,4,4,2,-0.57735026918962584,0.7777777777777778,1.0,1.0,0.3333333333333333,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
u_2,3,4,3,10,10,6,0.25,0.5555555555555555,0.3333333333333333,0.3333333333333333,1.0,4,5,6,3,4,5,0,0,0,-1,-1
u_2,1,1,1,3,3,1,-0.50000000000000011,1.0,1.0,1.0,1.0,0,1,1,0,0,1,0,0,0,-1,-1
