id,trust_value
RouteSet2173.3,0.666666666667
Route28422.0,0.833333333333
RouteSet2893.1,0.875
Building5601.0,0.833333333333
Building3286.0,0.75
Route24281.0,0.888888888889
Building4984.0,0.75
Building5260.0,0.75
RouteSet2769.3,0.833333333333
RouteSet2769.2,0.833333333333
RouteSet2769.1,0.666666666667
Building2244.0,0.833333333333
Route59834.0,0.666666666667
Route26503.0,0.666666666667
Route29220.0,0.833333333333
Route46840.0,0.833333333333
RouteSet21140.1,0.833333333333
RouteSet3372.1,0.875
Route40175.0,0.875
Route57765.0,0.75
Building23455.0,0.428571428571
Building10673.0,0.833333333333
Route7896.0,0.875
Building8146.0,0.833333333333
Route47357.0,0.857142857143
Building23709.0,0.833333333333
Route48168.0,0.8
RouteSet2883.1,0.6
RouteSet2883.2,0.875
Route48982.0,0.8
Route54501.0,0.75
Building12361.0,0.833333333333
RouteSet11809.2,0.909090909091
Route27501.0,0.8
Building2425.0,0.833333333333
Building5268.0,0.75
Building4408.0,0.75
Building12593.0,0.8
Route35832.0,0.75
Building2383.0,0.833333333333
RouteSet2367.1,0.636363636364
RouteSet2367.2,0.909090909091
Building9928.0,0.833333333333
Building6783.0,0.75
Route51374.0,0.75
Building10641.0,0.833333333333
Route22133.0,0.666666666667
RouteSet19005.1,0.75
RouteSet6123.1,0.833333333333
Route37815.0,0.75
Building31332.0,0.833333333333
Building1599.0,0.833333333333
Route56610.0,0.75
Route10892.0,0.833333333333
Route40161.0,0.833333333333
Building17493.0,0.428571428571
RouteSet21228.1,0.75
RouteSet12511.1,0.75
RouteSet788.3,0.666666666667
RouteSet788.2,0.347826086957
RouteSet788.1,0.684210526316
RouteSet3032.1,0.6
RouteSet788.7,0.333333333333
RouteSet788.6,0.666666666667
RouteSet788.5,0.666666666667
RouteSet788.4,0.666666666667
Route13021.0,0.75
RouteSet788.9,0.5
RouteSet788.8,0.666666666667
Building31638.0,0.833333333333
Route13255.0,0.888888888889
Route10601.0,0.666666666667
Building7447.0,0.833333333333
Route44590.0,0.9
Route25778.0,0.923076923077
Building7863.0,0.833333333333
Building18217.0,0.4
Building1206.0,0.833333333333
Building4858.0,0.5
Building3714.0,0.75
Building34436.0,0.833333333333
Route33714.0,0.666666666667
Route59711.0,0.666666666667
Building7185.0,0.833333333333
RouteSet1188.4,0.666666666667
RouteSet1188.3,0.8
RouteSet1188.2,0.642857142857
RouteSet1188.1,0.6
Route40994.0,0.833333333333
Route29878.0,0.8
Building4284.0,0.75
Route57373.0,0.75
Building5721.0,0.5
Building10655.0,0.833333333333
Building23344.0,0.4
RouteSet7657.1,0.75
Route26434.0,0.4
Building17938.0,0.8
Route13448.0,0.833333333333
Building20966.0,0.909090909091
Route18408.0,0.875
Route47319.0,0.8
Route33811.0,0.666666666667
Route56535.0,0.666666666667
RouteSet1152.8,0.666666666667
RouteSet1152.9,0.5
RouteSet1152.6,0.75
RouteSet1152.7,0.666666666667
RouteSet1152.4,0.666666666667
RouteSet1152.5,0.829787234043
RouteSet1152.2,0.615384615385
RouteSet1152.3,0.631578947368
Building24834.0,0.833333333333
RouteSet1152.1,0.571428571429
Route47262.0,0.8
RouteSet17055.1,0.833333333333
RouteSet13948.1,0.875
Route46470.0,0.833333333333
RouteSet2581.1,0.875
RouteSet31190.1,0.75
Building4694.0,0.75
Route60968.0,0.666666666667
Route13015.0,0.777777777778
Building3896.0,0.75
Route24648.0,0.866666666667
Building13484.0,0.833333333333
Route20229.0,0.9
Building9342.0,0.833333333333
Route57301.0,0.75
Building19225.0,0.4
Route27934.0,0.928571428571
Building10621.0,0.833333333333
Building8052.0,0.833333333333
Building11652.0,0.833333333333
Building1192.0,0.833333333333
RouteSet1041.3,0.666666666667
RouteSet1041.2,0.846153846154
RouteSet1041.1,0.6
RouteSet20842.2,0.785714285714
RouteSet20842.3,0.5
RouteSet18257.4,0.666666666667
Building31405.0,0.833333333333
Route46617.0,0.833333333333
Building5857.0,0.75
Route35154.0,0.857142857143
Building21316.0,0.833333333333
Building23467.0,0.4
Route18858.0,0.857142857143
RouteSet21028.1,0.833333333333
Building21076.0,0.833333333333
Building4660.0,0.75
Building1176.0,0.833333333333
RouteSet914.2,0.777777777778
RouteSet914.3,0.928571428571
RouteSet914.1,0.727272727273
Building8086.0,0.833333333333
Route37472.0,0.666666666667
Route34483.0,0.833333333333
RouteSet1568.10,0.714285714286
RouteSet1568.13,0.857142857143
RouteSet1568.12,0.777777777778
RouteSet1568.15,0.666666666667
RouteSet1568.14,0.666666666667
RouteSet1568.16,0.666666666667
Building23314.0,0.833333333333
Building1518.0,0.833333333333
Building8100.0,0.833333333333
Building3288.0,0.75
Building12143.0,0.75
Route48853.0,0.625
Route60312.0,0.666666666667
Building5695.0,0.833333333333
Building31403.0,0.833333333333
RouteSet20570.1,0.833333333333
Route18850.0,0.857142857143
Route38621.0,0.875
RouteSet2242.7,0.666666666667
RouteSet2242.6,0.666666666667
RouteSet2242.5,0.727272727273
RouteSet2242.4,0.666666666667
RouteSet2242.3,0.666666666667
Building4188.0,0.75
RouteSet2242.1,0.4
Route59702.0,0.666666666667
Building4852.0,0.75
Route42901.0,0.833333333333
Building18263.0,0.833333333333
Building2347.0,0.833333333333
Building4468.0,0.75
RouteSet2242.8,0.5
Route23917.0,0.888888888889
Route39882.0,0.833333333333
Route47239.0,0.833333333333
Building8274.0,0.833333333333
Route13442.0,0.8
RouteSet5380.1,0.875
Building20742.0,0.833333333333
Building9561.0,0.833333333333
RouteSet7647.1,0.6
Building31868.0,0.833333333333
Route13389.0,0.875
Building17805.0,0.833333333333
Route54543.0,0.75
Route38494.0,0.833333333333
Route52291.0,0.833333333333
Building5559.0,0.833333333333
Building4180.0,0.75
Route41033.0,0.833333333333
RouteSet6597.1,0.875
Route51136.0,0.75
Building21246.0,0.4
Route40478.0,0.833333333333
Route47099.0,0.8
Building10034.0,0.833333333333
Route9293.0,0.857142857143
Route51153.0,0.75
Building8860.0,0.833333333333
Building6627.0,0.833333333333
RouteSet19229.1,0.75
Route39790.0,0.8
Route49877.0,0.833333333333
Building2371.0,0.833333333333
RouteSet3164.1,0.875
Route1672.0,0.652173913043
Route59612.0,0.666666666667
Building12157.0,0.833333333333
Building7453.0,0.833333333333
Building9338.0,0.833333333333
Building4476.0,0.75
Route34805.0,0.857142857143
Building20726.0,0.833333333333
RouteSet8429.1,0.833333333333
Building3630.0,0.5
Route57206.0,0.75
Building5152.0,0.833333333333
Route59259.0,0.666666666667
RouteSet18116.1,0.75
Building25838.0,0.4
Route53916.0,0.75
Route53015.0,0.8
RouteSet5635.1,0.6
Building3382.0,0.75
RouteSet7155.1,0.75
Building6575.0,0.833333333333
Building4488.0,0.75
Route44790.0,0.833333333333
RouteSet10002.1,0.75
RouteSet4940.1,0.875
RouteSet3362.1,0.875
Building23797.0,0.4
Route38681.0,0.75
Building25283.0,0.833333333333
Route53931.0,0.75
Building3148.0,0.833333333333
Building19145.0,0.4
Route22331.0,0.666666666667
Building2218.0,0.833333333333
